[2026-06-12 22:25:47] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=PageWriter TC50 | CATEGORY=Cardiology | QUESTION=What is PageWriter TC50?
[2026-06-12 22:30:42] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=HeartStart FRx AED | CATEGORY=Cardiology | QUESTION=Tell me features of HeartStart FRx AED
[2026-06-12 22:31:22] SOURCE=dynamic_search | CONFIDENCE=0.00 | PRODUCT=N/A | CATEGORY=Cardiology | QUESTION=What is Holter Monitor?
[2026-06-12 23:20:08] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=PageWriter TC50 | CATEGORY=Cardiology | QUESTION=What is PageWriter TC50?
[2026-06-12 23:20:31] SOURCE=dynamic_search | CONFIDENCE=0.80 | PRODUCT=N/A | CATEGORY=Cardiology | QUESTION=What is Holter Monitor?
[2026-06-12 23:20:49] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=HeartStart FRx AED | CATEGORY=Cardiology | QUESTION=Tell me features of HeartStart FRx AED
[2026-06-12 23:25:05] SOURCE=dynamic_search | CONFIDENCE=0.75 | PRODUCT=N/A | CATEGORY=Unknown | QUESTION=What is Affiniti 30?
[2026-06-12 23:45:50] SOURCE=faiss | CONFIDENCE=0.96 | PRODUCT=Efficia DFM100 | CATEGORY=PatientMonitoring | QUESTION=What is Efficia CM120?
[2026-06-12 23:46:13] SOURCE=faiss | CONFIDENCE=0.96 | PRODUCT=ST80i Stress Testing System | CATEGORY=PatientMonitoring | QUESTION=Tell me about Stress Test
[2026-06-12 23:50:45] SOURCE=faiss | CONFIDENCE=0.96 | PRODUCT=Cardiac Workstation 7000 | CATEGORY=PatientMonitoring | QUESTION=Tell me about Patient Monitoring Devices
[2026-06-13 10:13:04] SOURCE=faiss | CONFIDENCE=0.97 | PRODUCT=E-Flo 6C Anaesthesia Workstation | CATEGORY=Anaesthesia | QUESTION=What is an Anaesthesia Workstation?
[2026-06-13 10:13:27] SOURCE=dynamic_search | CONFIDENCE=0.70 | PRODUCT=N/A | CATEGORY=Anaesthesia | QUESTION=What are the specifications of a Video Laryngoscope?
[2026-06-13 10:27:49] SOURCE=dynamic_search | CONFIDENCE=0.77 | PRODUCT=N/A | CATEGORY=Cardiology | QUESTION=What is a Holter Monitor?
[2026-06-13 10:28:10] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=PageWriter TC50 | CATEGORY=Cardiology | QUESTION=What is PageWriter TC50?
[2026-06-13 11:07:29] SOURCE=faiss | CONFIDENCE=0.95 | PRODUCT=PageWriter TC35 | CATEGORY=PatientMonitoring | QUESTION=Tell me about ECG
[2026-06-13 11:27:32] SOURCE=dynamic_search | CONFIDENCE=0.81 | PRODUCT=N/A | CATEGORY=Anaesthesia | QUESTION=What is a Video Laryngoscope?
[2026-06-18 22:17:52] SOURCE=faiss | CONFIDENCE=0.95 | PRODUCT=PageWriter TC35 | CATEGORY=PatientMonitoring | QUESTION=Tell me about ECG
[2026-06-18 22:19:29] SOURCE=dynamic_search | CONFIDENCE=0.79 | PRODUCT=N/A | CATEGORY=PatientMonitoring | QUESTION=What is infusion pumps
[2026-06-18 22:21:12] SOURCE=faiss | CONFIDENCE=0.95 | PRODUCT=E-Flo 6C Anaesthesia Workstation | CATEGORY=Anaesthesia | QUESTION=What is IntelliVue MX550?
[2026-06-19 00:10:51] SOURCE=faiss | CONFIDENCE=0.96 | PRODUCT=Cardiac Workstation 7000 | CATEGORY=PatientMonitoring | QUESTION=Tell me about Patient Monitoring Devices
[2026-06-19 00:11:39] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=PageWriter TC50 | CATEGORY=Cardiology | QUESTION=What is PageWriter TC50?
[2026-06-19 00:12:10] SOURCE=faiss | CONFIDENCE=1.00 | PRODUCT=HeartStart FRx AED | CATEGORY=Cardiology | QUESTION=What are the features of HeartStart FRx AED?
